Platform,ID
App store,503468812
App store,1180811476
App store,1073827552
App store,1150890186
App store,1080117683
App store,1098573296
App store,1181305460
App store,596655478
App store,1164439725
App store,1150428025
App store,1185381663
App store,1035240284
App store,1165752346
App store,1089522440
App store,1150432982
App store,584916423
App store,554144952
App store,851878025
App store,691617940
App store,541059690
App store,1187795035
App store,987889384
App store,1185295866
App store,1186036457
App store,1142255646
App store,1183742610
App store,1080118266
App store,1148923172
App store,1051031725
App store,1109376684
App store,967272625
App store,1149241845
App store,1187552546
App store,1181799051
App store,1118036971
App store,1055272075
App store,1144607570
App store,1151344128
App store,1185821715
App store,1148923675
App store,1159723506
App store,1118021355
App store,675522684
App store,1037750652
App store,552341639
App store,702198917
App store,829960904
App store,1177885812
App store,1110676311
App store,1178517514
App store,1177911518
App store,1164766647
App store,767196673
App store,1147937401
App store,479202541
App store,1143758573
App store,1188286832
App store,1028602455
App store,1121780672
App store,1111508997
App store,1069317189
App store,1101078365
App store,1155144495
App store,402112986
App store,1159619062
App store,1088543084
App store,555257441
App store,1173433270
App store,1083342382
App store,936806191
App store,1158824425
App store,501891470
App store,1097021419
App store,1149711608
App store,1180554344
App store,594329490
App store,1154653365
App store,1128653741
App store,1171532447
App store,798990531
App store,1169376304
App store,537404773
App store,1111479706
App store,1073130847
App store,921472920
App store,981962426
App store,1114433859
App store,767841025
App store,1184089977
App store,1153485396
App store,892117487
App store,465685575
App store,1055435107
App store,1005783927
App store,540660863
App store,1028905050
App store,566237798
App store,950031589
App store,1122387239
App store,1056993373
App store,688402709
App store,958015434
App store,1143879020
App store,1114494085
App store,919147310
App store,560145740
App store,956087859
App store,1143753277
App store,924005506
App store,1185382716
App store,1179688919
App store,979681993
App store,1157455659
App store,1040766870
App store,950878067
App store,564147490
App store,1032230264
App store,566526637
App store,868863004
App store,1150347101
App store,1020541183
App store,1097138256
App store,1144172460
App store,1157866110
App store,771598039
App store,1181428702
App store,949937044
App store,994064878
App store,1082137137
App store,1172125308
App store,1061507622
App store,1135343483
App store,656377555
App store,1080597667
App store,1149253382
App store,1163169457
App store,1116058426
App store,1188159543
App store,1148333509
App store,967878307
App store,892483085
App store,1134400770
App store,363920434
